#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
-0.11,1,16.546036
-0.38,1,16.559031
-0.2,1,16.570998
0.195,1,16.581997
-0.1,1,16.592997
0.325,1,16.606024
0.065,1,16.618021
-0.43,1,16.629994
-0.345,1,16.642997
0.455,1,16.653997
0.1,1,16.665995
0.33,1,16.677998
0.28,1,16.689996
-0.01,1,16.700997
0.195,1,16.714003
0.045,1,16.725998
0.175,1,16.738999
-0.035,1,16.750997
0.495,1,16.761995
-0.055,1,16.772998
-0.135,1,16.783998
0.49,1,16.795997
0.315,1,16.806997
0.2,1,16.819999
-0.09,1,16.830995
-0.17,1,16.841997
0.21,1,16.852995
0.01,1,16.864
-0.345,1,16.875997
-0.26,1,16.888207
0.435,1,16.899478
0.08,1,16.910944
-0.3,1,16.921944
-0.28,1,16.932944
0.29,1,16.943943
0.085,1,16.955947
0.145,1,16.966946
0.05,1,16.977946
0.07,1,16.989945
-0.255,1,17.002132
0.16,1,17.012945
-0.355,1,17.023945
0.03,1,17.033947
-0.075,1,17.045946
0.375,1,17.057946
-0.57,1,17.069945
0.035,1,17.080947
-0.005,1,17.093945
-0.01,1,17.105947
0.02,1,17.117945
0.04,1,17.127944
-0.085,1,17.139945
0.41,1,17.150946
-0.45,1,17.161945
-0.09,1,17.173947
-0.025,1,17.184946
0.065,1,17.198948
0.27,1,17.212945
-0.175,1,17.224947
-0.385,1,17.237965
0.44,1,17.249949
0.67,1,17.260946
-0.06,1,17.273953
0.25,1,17.284947
-0.29,1,17.294946
-0.18,1,17.306946
0.29,1,17.317944
0.7,1,17.327945
0.05,1,17.339946
0.22,1,17.349946
0.44,1,17.360947
-0.01,1,17.371945
-0.06,1,17.382945
-0.11,1,17.392988
-0.01,1,17.403946
0.28,1,17.413945
0.25,1,17.424958
0.115,1,17.435945
0.025,1,17.445946
0.22,1,17.457946
0.175,1,17.467946
0.035,1,17.479945
-0.2,1,17.490945
-0.03,1,17.502945
0.38,1,17.511947
-0.155,1,17.522945
0.23,1,17.533946
0.685,1,17.544945
0.045,1,17.555945
0.055,1,17.567945
0.215,1,17.578944
-0.215,1,17.589946
-0.28,1,17.600946
0.35,1,17.610944
0.02,1,17.621945
-0.1,1,17.632946
-0.255,1,17.643945
-0.125,1,17.654945
-0.04,1,17.664947
-0.015,1,17.676945
-0.27,1,17.688944
-0.155,1,17.700945
0.44,1,17.711948
0.135,1,17.722945
-0.08,1,17.733947
0.07,1,17.744946
-0.105,1,17.756947
0.26,1,17.768945
-0.0,1,17.780946
-0.095,1,17.793947
0.005,1,17.805944
0.01,1,17.816945
-0.055,1,17.829943
0.08,1,18.247486
0.28,1,18.279785
0.15,1,18.291785
-0.065,1,18.303788
0.025,1,18.316784
-0.14,1,18.329787
0.275,1,18.342797
0.19,1,18.355783
-0.04,1,18.367785
0.185,1,18.380785
-0.005,1,18.392784
0.135,1,18.403784
0.085,1,18.413785
-0.275,1,18.424785
0.265,1,18.434784
0.33,1,18.444786
0.095,1,18.456784
-0.11,1,18.466784
-0.17,1,18.477786
0.29,1,18.488786
0.155,1,18.497786
-0.25,1,18.508786
0.205,1,18.518835
0.28,1,18.529786
-0.195,1,18.540786
-0.005,1,18.550787
-0.075,1,18.562786
0.245,1,18.571786
0.02,1,18.582786
0.49,1,18.592785
0.215,1,18.604785
0.485,1,18.614785
0.215,1,18.625786
0.1,1,18.637784
-0.075,1,18.648786
0.02,1,18.659786
0.025,1,18.670786
0.03,1,18.681785
0.12,1,18.693786
0.55,1,18.702788
-0.015,1,18.714786
0.15,1,18.726786
0.175,1,18.738787
0.18,1,18.750791
0.105,1,18.761786
0.08,1,18.772785
-0.255,1,18.783786
-0.04,1,18.795784
0.37,1,18.807788
0.5,1,18.818813
0.2,1,18.829786
-0.04,1,18.840786
0.105,1,18.852785
0.14,1,18.864785
0.445,1,18.875786
0.125,1,18.887786
0.255,1,18.897784
0.165,1,18.909786
0.34,1,18.921787
0.255,1,18.932785
0.145,1,18.942437
0.1,1,18.953388
-0.16,1,18.96449
-0.055,1,18.975011
0.265,1,18.987009
0.53,1,18.998011
0.225,1,19.00805
-0.115,1,19.019013
-0.05,1,19.029015
0.16,1,19.040011
0.455,1,19.050011
-0.06,1,19.061012
0.5,1,19.072012
0.42,1,19.084011
0.135,1,19.096015
0.2,1,19.107011
0.18,1,19.117011
0.245,1,19.128012
0.195,1,19.138014
0.04,1,19.149014
-0.135,1,19.161016
-0.215,1,19.171945
0.34,1,19.181944
0.64,1,19.192945
0.295,1,19.204945
-0.24,1,19.214945
0.015,1,19.225945
0.11,1,19.235945
0.09,1,19.246945
-0.12,1,19.257958
0.175,1,19.268944
-0.05,1,19.278944
-0.085,1,19.289945
-0.03,1,19.300943
0.31,1,19.312951
-0.27,1,19.323945
-0.115,1,19.335539
0.12,1,19.345608
0.195,1,19.354918
-0.26,1,19.367009
0.39,1,19.380009
0.09,1,19.391009
0.005,1,19.403011
0.21,1,19.416014
-0.1,1,19.428015
0.425,1,19.43801
-0.17,1,19.450014
0.14,1,19.464011
-0.295,1,19.476013
0.305,1,19.486014
0.065,1,19.496013
-0.135,1,19.50701
0.07,1,19.51701
-0.365,1,19.52801
0.065,1,19.538009
-0.0,1,19.54801
0.025,1,19.559012
-0.19,1,19.57001
0.05,1,19.58101
0.635,1,19.59301
-0.005,1,19.60303
